numVertices, time Dijkstra (microseconds), time FW (microseconds)
10, 5, 54
20, 18, 240
30, 21, 528
40, 42, 1237
50, 69, 2207
60, 127, 4376
70, 140, 5544
80, 161, 9046
90, 247, 12103
100, 370, 16593
110, 381, 22575
120, 521, 26115
130, 677, 36606
140, 866, 52675
150, 798, 50730
160, 1115, 62125
170, 1173, 72999
180, 1819, 88559
190, 2129, 93353
200, 2043, 118175
210, 1926, 156750
220, 1841, 154388
230, 2003, 170966
240, 2254, 191485
250, 2102, 226885
260, 2074, 243334
270, 2831, 276551
280, 3450, 303151
290, 3960, 332094
300, 3748, 385780
310, 4100, 409561
320, 3970, 452572
330, 3961, 506687
340, 4525, 546625
350, 5617, 665922
360, 5037, 708303
370, 4972, 738788
380, 5193, 758435
390, 5996, 816525
400, 6012, 903217
410, 6580, 978947
420, 7196, 1020144
430, 7282, 1094974
440, 8108, 1166970
450, 8029, 1259244
460, 8686, 1336923
470, 9607, 1450565
480, 8219, 1524226
490, 8551, 1652241
500, 10814, 1757806